name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2023-11-28T00:00:00,4,-0.7,1.2,81.99,0,0,,0,0,38.9,24.2,48,997.3,90.2,11.9,0,0,0,,Overcast,cloudy,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T01:00:00,3.9,-1.1,1.1,81.64,0.792,100,rain,0,0,39.6,27.5,40,999.1,99.7,12,0,0,0,,"Rain, Overcast",rain,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T02:00:00,3.9,-1.2,1,81.74,0,0,,0,0,31.7,27.6,24,1000.1,99.7,11.9,0,0,0,,Overcast,cloudy,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T03:00:00,3,-1.9,0.9,85.95,0,0,,0,0,38.9,24.1,17,1001.1,99.7,12,0,0,0,,Overcast,cloudy,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T04:00:00,2.8,-2.4,-0.1,80.91,0,0,,0,0,36,26.7,23,1002.2,97.9,12,0,0,0,,Overcast,cloudy,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T05:00:00,1.9,-3.2,-1.2,79.65,0,0,,0,0,25.9,22.8,23,1003.1,0,12,0,0,0,,Clear,clear-night,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T06:00:00,1.1,-3.5,-2,80.27,0,0,,0,0,29.5,17.3,31,1004.1,0,12,0,0,0,,Clear,clear-night,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T07:00:00,1,-3.2,-1.9,81.07,1.939,100,"rain,snow",0,0,18,15.1,40,1005.1,0.9,11.9,0,0,0,,"Snow, Rain",rain,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T08:00:00,0.2,-2.3,-1.9,85.77,0,0,,0,0,14.8,7.5,353,1006.1,0.9,12,0,0,0,,Clear,clear-night,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T09:00:00,0.1,0.1,-1.9,86.41,0,0,,0,0,14,2.1,78,1006,0.9,10.6,60,0.2,1,,Clear,clear-day,"06260099999,C7674,06240099999,06344099999"
Delft,2023-11-28T10:00:00,1.2,1.2,-0.1,90.69,0,0,,0,0,7.2,4.6,279,1007.2,0.9,11.8,77,0.3,1,,Clear,clear-day,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T11:00:00,3.1,3.1,-0.8,75.29,0,0,,0,0,11.2,3.7,93,1008,0.9,11.7,121,0.4,1,,Clear,clear-day,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T12:00:00,4.1,4.1,-0.8,70.32,0,0,,0,0,11.2,4.2,222,1008,0.9,11.6,214,0.8,2,,Clear,clear-day,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T13:00:00,4.2,4.2,-1,69.04,0,0,,0,0,10.8,3.8,232,1008,1.1,10.6,56,0.2,1,,Clear,clear-day,"06356099999,06260099999,C7674,06240099999,06330099999,06344099999"
Delft,2023-11-28T14:00:00,4.9,3.8,-0.9,66.12,0,0,,0,0,11.2,5.4,243,1008,1.6,11.7,39,0.1,0,,Clear,clear-day,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T15:00:00,4.9,2.8,-0.8,66.71,0,0,,0,0,11.2,8.7,241,1008,0.9,11.8,29,0.1,0,,Clear,clear-day,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T16:00:00,4.1,0.7,0,74.87,0,0,,0,0,18,14.8,224,1008,97.3,11.9,0,0,0,,Overcast,cloudy,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T17:00:00,3.1,-0.9,0.2,81.25,0,0,,0,0,14.8,17.5,219,1007.2,1.7,12,0,0,0,,Clear,clear-night,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T18:00:00,3.8,-0.3,1.1,82.39,0,0,,0,0,18.4,19.1,228,1007,97.1,11.9,0,0,0,,Overcast,cloudy,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T19:00:00,2.4,-2.5,1.2,92.11,1.568,100,rain,0,0,25.2,22,213,1006.9,98.5,12,0,0,0,,"Rain, Overcast",rain,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T20:00:00,3.2,-1.5,2.1,92.32,0,0,,0,0,31.7,22.7,220,1006,1.6,11.2,0,0,0,,Clear,clear-night,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T21:00:00,3.4,-1.7,1.9,89.96,0,0,,0,0,31.7,26.7,229,1005.1,52,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T22:00:00,4.3,-0.2,2,85.16,0.014,100,rain,0,0,25.2,23.3,220,1004.1,33,11.2,0,0,0,,"Rain, Partially cloudy",rain,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2023-11-28T23:00:00,4.3,0.7,2,85.28,0.028,100,rain,0,0,22.3,15.7,259,1004,98.5,9.6,0,0,0,,"Rain, Overcast",rain,"06356099999,06260099999,C7674,06348099999,06240099999,06330099999,06344099999"
