name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-04-18T00:00:00,3.4,2,2.2,92.17,0.014,100,rain,0,0,20.1,5.8,315,1014.1,3,6.8,0,0,0,,Rain,rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T01:00:00,3.3,3.3,3,97.74,0,0,,0,0,13.7,4.8,19,1015,3,5.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T02:00:00,2.4,0.8,2.1,98.07,0,0,,0,0,27,5.8,359,1015.1,89.7,8.5,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T03:00:00,3.2,1.8,2.1,92.75,0,0,,0,0,17.7,5.7,22,1016,0,11,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T04:00:00,2.3,0.9,2.1,98.73,0,0,,0,0,15.3,5.3,347,1016.1,0,10.8,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T05:00:00,2.4,2.4,2.2,98.64,0,0,,0,0,16.2,4.5,319,1017.1,0,7.5,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T06:00:00,1.5,1.5,1.3,98.5,0,0,,0,0,3.6,3.3,324,1018,29.1,1.1,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T07:00:00,3.2,3.2,2.9,97.62,0,0,,0,0,3.6,4.2,297,1018.1,88.5,10.2,0,0,0,,Partially cloudy,partly-cloudy-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T08:00:00,5.2,4.1,4,92.08,0,0,,0,0,14.4,5.7,346,1019.1,48.8,11,0,0,0,,Partially cloudy,partly-cloudy-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T09:00:00,8.6,7.8,4.1,73.3,0,0,,0,0,14.4,6.3,301,1019.2,0.3,11.6,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T10:00:00,8.1,6.9,5,80.83,0,0,,0,0,18,7.7,341,1020,95.5,11.3,0,0,0,,Overcast,cloudy,"06260099999,C7674,06240099999,06344099999"
Delft,2024-04-18T11:00:00,9.1,7.6,4.1,70.92,0,0,,0,0,26.4,9.6,331,1020.2,100,12.2,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T12:00:00,10.9,10.9,3.3,59.46,0,0,,0,0,29.4,15.7,323,1021,30.6,12,0,0,0,,Partially cloudy,partly-cloudy-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T13:00:00,11,11,3.2,58.78,0,0,,0,0,25.2,14,321,1021,99.4,10.9,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T14:00:00,10.1,10.1,3.2,62.25,0.159,100,rain,0,0,35.3,16.1,304,1021,89.7,12,0,0,0,,"Rain, Partially cloudy",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T15:00:00,11,11,4,62.12,0,0,,0,0,28.8,14.2,292,1021,90.3,11.7,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T16:00:00,10.9,10.9,4,62.18,0,0,,0,0,28.8,18.1,282,1020.2,90.3,12,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T17:00:00,10.1,10.1,3.1,62.01,0,0,,0,0,32.4,19.5,297,1020.2,90.3,12.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T18:00:00,10,7.4,4,66.27,0,0,,0,0,25.2,18.8,280,1020.1,3,12.2,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T19:00:00,9.1,6.5,2.1,61.83,0,0,,0,0,36,17.4,253,1020,3,12.4,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T20:00:00,8.2,5.5,3.1,69.98,0,0,,0,0,36,16.3,242,1019.1,3,12.3,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T21:00:00,8.2,5.2,3.1,70.28,0,0,,0,0,28.8,19.1,240,1019,3,12.4,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T22:00:00,8.2,5.2,4,74.8,0,0,,0,0,28.8,19.1,230,1018,3,12.3,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-18T23:00:00,8.2,5,5,79.98,0,0,,0,0,28.8,22,223,1017,90.3,12,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
