name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-02-16T00:00:00,12.1,12.1,9,80.88,0,0,,0,0,25.2,13.1,163,1008.1,3,12.4,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T01:00:00,11.3,11.3,8.1,81.08,0,0,,0,0,28.8,12.7,170,1008.1,3,12.4,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T02:00:00,11.2,11.2,8.1,80.86,0,0,,0,0,18,12.7,163,1008.1,3,12.4,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T03:00:00,12,12,8,76.63,0,0,,0,0,14.4,15.5,178,1007.2,3,12,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T04:00:00,11.2,11.2,8,80.72,0,0,,0,0,18,15.5,179,1007.1,3,12.4,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T05:00:00,11.2,11.2,8,80.7,0,0,,0,0,18.4,15.1,179,1007.1,3,12.3,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T06:00:00,12,12,8,76.78,0,0,,0,0,21.6,16.9,190,1007.1,3,12.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T07:00:00,12.7,12.7,8.9,77.61,0.308,100,rain,0,0,21.6,22.1,207,1007.2,3,11.5,0,0,0,,Rain,rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T08:00:00,12.7,12.7,9,77.96,0,0,,0,0,18,23.1,217,1008.1,3,12.3,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T09:00:00,13,13,9.1,76.97,0,0,,0,0,28.8,22.2,219,1009,4.7,11.3,0,0,0,,Clear,clear-day,"06260099999,C7674,06240099999,06344099999"
Delft,2024-02-16T10:00:00,12,12,10,87.3,0,0,,0,0,28.8,25.5,240,1010.1,100,11.2,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T11:00:00,11,11,10,93.79,0,0,,0,0,32.4,17.7,235,1011.9,90.3,5.5,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T12:00:00,10.9,10.9,10,94.58,0.049,100,rain,0,0,25.2,17.9,277,1013,100,9.8,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T13:00:00,11.8,11.8,10.9,94.57,1.596,100,rain,0,0,21.6,17.5,278,1014,100,9.7,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T14:00:00,11.9,11.9,10.9,93.77,0,0,,0,0,21.6,14,261,1015,90.3,11.6,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T15:00:00,12,12,10.1,88.05,0,0,,0,0,25.2,15.8,269,1015.1,90.3,11,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T16:00:00,11.9,11.9,10,87.92,0,0,,0,0,25.2,14.9,252,1016.1,90.3,11.2,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T17:00:00,11.1,11.1,9.1,87.24,0,0,,0,0,21.6,13.4,253,1017,100,11.2,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T18:00:00,11,11,8.2,82.75,0,0,,0,0,21.6,16.2,251,1018.1,100,11.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T19:00:00,10.1,10.1,8.1,87.32,0,0,,0,0,28.8,14.3,242,1019.1,51.5,11.5,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T20:00:00,10.1,10.1,8.1,87.25,0,0,,0,0,21.6,12.7,258,1020,88.8,10.9,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T21:00:00,10.1,10.1,8.8,91.91,0,0,,0,0,21.6,8.1,275,1021,100,10.5,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T22:00:00,10.1,10.1,8,86.76,0,0,,0,0,21.6,6.2,259,1022,100,10.7,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-02-16T23:00:00,10.1,10.1,8,87.09,0,0,,0,0,14.4,12.5,250,1022.1,90.3,10.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
