name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-03-03T00:00:00,10.5,10.5,6.1,73.95,0,0,,0,0,32.4,19.1,150,997.1,3,12.2,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T01:00:00,10.5,10.5,6.1,73.84,0,0,,0,0,36,17.3,153,997.1,100,12.3,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T02:00:00,10.5,10.5,6.1,73.9,0,0,,0,0,32.4,15,163,997.2,100,12.4,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T03:00:00,8.1,6.5,6.8,91.81,0,0,,0,0,28.8,9.4,279,997.2,3,11.5,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T04:00:00,7.3,7.3,6.1,92.05,0,0,,0,0,21.6,3.8,5,997.2,3,8.7,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T05:00:00,7.2,7.2,6.8,97.35,0,0,,0,0,18.6,4.7,356,997.2,51.5,7.7,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T06:00:00,7.2,7.2,6.1,92.52,0,0,,0,0,14.4,3.6,246,998.1,3,7.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T07:00:00,7.2,7.2,6.1,92.52,0,0,,0,0,32.4,2.2,16,999,32.1,7.5,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T08:00:00,7.2,7.2,6.9,97.8,0,0,,0,0,18,2.3,23,999.2,90.3,7.4,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T09:00:00,8.1,8.1,8,98.91,0,0,,0,0,18,2.3,127,1000,90.5,10.4,0,0,0,,Overcast,cloudy,"06260099999,C7674,06240099999,06344099999"
Delft,2024-03-03T10:00:00,9.8,9.8,7.1,83.2,0,0,,0,0,18,3.9,44,1000.1,3,11.4,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T11:00:00,10.8,10.8,7.2,78.54,0,0,,0,0,7.2,8.5,105,1000.1,3,11.6,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T12:00:00,11.7,11.7,7.2,73.84,0,0,,0,0,18,4.7,24,1000.2,3,12,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T13:00:00,12.7,12.7,7.2,69.39,0,0,,0,0,21.6,11.6,102,1000.2,3,11.8,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T14:00:00,12.6,12.6,7.2,69.68,0,0,,0,0,18,11,130,1000.3,3,11.4,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T15:00:00,12.6,12.6,8,73.35,0,0,,0,0,14.4,11.8,219,1001.1,90.3,11.6,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T16:00:00,11,11,8,81.81,0,0,,0,0,18.3,14.8,272,1002.1,90.3,11.8,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T17:00:00,10.1,10.1,8,86.9,0,0,,0,0,7.2,14.3,282,1002.1,32.1,12,0,0,0,,Partially cloudy,partly-cloudy-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T18:00:00,8.3,5.2,7.1,92.22,0,0,,0,0,18,19.6,284,1003.1,100,11.3,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T19:00:00,8.1,5.4,7,92.8,0,0,,0,0,14.4,16.7,302,1004.1,100,10.6,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T20:00:00,8,5.1,7,92.82,0,0,,0,0,25.2,18.5,309,1005.1,100,10.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T21:00:00,8,5.3,6.2,88.07,0,0,,0,0,21.6,16.8,301,1006,100,10,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T22:00:00,8,5.2,6.1,88.15,0,0,,0,0,27.8,16.9,300,1006.1,100,10.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-03T23:00:00,7.9,5.1,6.1,88.22,0,0,,0,0,27.5,16.9,301,1007,100,10.2,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
