name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-03-26T00:00:00,7.1,3.8,1.1,65.55,0,0,,0,0,28.8,19.3,100,998,3,12.2,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T01:00:00,7,3.8,1.9,70.05,0,0,,0,0,32.4,18.8,100,997.1,3,12.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T02:00:00,6.2,2.7,1.1,69.95,0,0,,0,0,21.6,18.6,108,996.2,3,12.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T03:00:00,6.1,2.8,1.1,70.3,0,0,,0,0,21.6,17.1,108,995.2,3,12.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T04:00:00,6,2.9,1.1,70.62,0,0,,0,0,25.2,15.7,100,994.2,3,12.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T05:00:00,5.2,1.8,1,74.45,0,0,,0,0,25.2,16.2,101,993.2,3,12.3,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T06:00:00,4.3,1.6,1,79.1,0,0,,0,0,25.2,11,93,993.1,3,12.3,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T07:00:00,5.1,1.9,1,74.98,0,0,,0,0,21.6,14.8,101,993.1,3,12.1,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T08:00:00,6.1,2.8,1.1,70.13,0,0,,0,0,25.2,17.7,110,992.2,3,11.8,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T09:00:00,7,4.4,2,70.42,0,0,,0,0,25.2,13.9,120,992,6,11,0,0,0,,Clear,clear-day,"06260099999,06340099999,EHRD,C7674,06240099999,06344099999"
Delft,2024-03-26T10:00:00,8.2,5.7,2,64.93,0,0,,0,0,25.2,14.9,113,991.2,3,11.9,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T11:00:00,9.1,7.1,2.1,61.49,0,0,,0,0,25.2,12.9,138,991.1,3,12,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T12:00:00,10,10,3,61.71,0,0,,0,0,25.2,13,140,990.2,3,11.9,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T13:00:00,10.1,10.1,3.1,62.16,0,0,,0,0,27.5,15.5,141,990.1,100,12.8,0,0,0,,Overcast,cloudy,"06356099999,06260099999,EHRD,C7674,06348099999,06240099999,06330099999"
Delft,2024-03-26T14:00:00,10.9,10.9,4,62.17,0,0,,0,0,25.6,14.7,141,989.1,100,10,0,0,0,,Overcast,cloudy,"EHRD,C7674,EHWO,EHGR,EHAM"
Delft,2024-03-26T15:00:00,11,11,4.9,66.07,0,0,,0,0,25.2,16.5,149,989,100,10,0,0,0,,Overcast,cloudy,"EHRD,C7674,EHWO,EHGR,EHAM"
Delft,2024-03-26T16:00:00,11.1,11.1,5,66.04,0,0,,0,0,22.1,12.9,121,988.1,100,11,0,0,0,,Overcast,cloudy,"06350099999,06340099999,EHRD,C7674,EHWO,EHGR,EHAM"
Delft,2024-03-26T17:00:00,12,12,5.1,62.53,0,0,,0,0,18,12.2,121,987.2,3,11.6,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T18:00:00,11.1,11.1,5.9,70.22,0,0,,0,0,18,11.7,104,987.1,3,11.9,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T19:00:00,9.5,8.2,6,78.68,0,0,,0,0,28.8,8.8,76,986.2,3,11.9,0,0,0,,Clear,clear-day,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-26T20:00:00,10.9,10.9,6.9,76.45,0,0,,0,0,22,12.7,90,986,100,10,0,0,0,,Overcast,cloudy,"EHRD,C7674,EHWO,EHGR,EHAM"
Delft,2024-03-26T21:00:00,11,11,6.9,76.24,0.1,100,rain,0,0,24.1,14.6,101,986,88.5,10,0,0,0,,"Rain, Partially cloudy",rain,"EHRD,C7674,EHWO,EHGR,EHAM"
Delft,2024-03-26T22:00:00,10.9,10.9,7,76.65,0.2,100,rain,0,0,24.1,11.1,119,986,99.5,10,0,0,0,,"Rain, Overcast",rain,"EHRD,C7674,EHWO,EHGR,EHAM"
Delft,2024-03-26T23:00:00,10,10,7,81.52,0.1,100,rain,0,0,25.6,9.6,112,985,86.9,10,0,0,0,,"Rain, Partially cloudy",rain,"EHRD,C7674,EHWO,EHGR,EHAM"
