name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-04-03T00:00:00,10,10,8,86.95,0,0,,0,0,14.4,15.3,217,1006.2,90.3,11,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T01:00:00,10,8.5,8.9,93.27,0,0,,0,0,25.2,10.4,199,1006.1,90.3,10.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T02:00:00,10,8.2,9,93.86,0.477,100,rain,0,0,36,12.5,164,1005.2,90.3,10.2,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T03:00:00,10,10,9.2,94.29,0,0,,0,0,18,16.8,170,1005.1,90.3,6.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T04:00:00,10,10,9.1,93.96,0.017,100,rain,0,0,18,23.2,180,1004.1,90.3,9.8,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T05:00:00,10.1,10.1,8.2,88.44,0.015,100,rain,0,0,28.8,16.7,189,1003.1,32.1,10.7,0,0,0,,"Rain, Partially cloudy",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T06:00:00,10,7.4,9,93.82,0.007,100,rain,0,0,21.6,19.6,172,1003,32.1,10.9,0,0,0,,"Rain, Partially cloudy",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T07:00:00,10,7.5,9,93.85,0.002,100,rain,0,0,18,18.2,170,1002.1,90.3,11.4,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T08:00:00,10,10,9.1,93.82,3.132,100,rain,0,0,28.8,16.2,171,1002.1,100,10.7,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T09:00:00,10.1,10.1,9.1,93.61,0,0,,0,0,26,14.9,179,1002,90.3,11.6,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T10:00:00,11,11,9,87.66,0.002,100,rain,0,0,28.8,17.4,185,1002,100,10.8,0,0,0,,"Rain, Overcast",rain,"06260099999,06340099999,EHRD,C7674,06240099999,06344099999"
Delft,2024-04-03T11:00:00,11.1,11.1,9.2,88.11,0,0,,0,0,28.8,22.2,188,1002,100,11.3,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T12:00:00,11.1,11.1,10,92.7,0,0,,0,0,30.7,21,197,1002,90.3,8,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T13:00:00,12,12,10.2,88.67,0,0,,0,0,30.5,19.3,199,1002,100,10.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T14:00:00,13,13,11,87.96,0.015,100,rain,0,0,31.1,21.1,207,1002,100,10.5,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T15:00:00,13.9,13.9,10.2,78.06,0,0,,0,0,37.9,23.4,200,1001.2,90.3,11,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T16:00:00,12.3,12.3,10.2,87.18,0.122,100,rain,0,0,50.1,28.4,244,1002,90.3,6.9,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T17:00:00,13,13,9.2,77.53,0.025,100,rain,0,0,65.1,34.2,229,1002,90.3,11,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T18:00:00,12.1,12.1,8.1,76.71,0,0,,0,0,61.2,44.3,230,1002.1,99.4,11.7,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T19:00:00,12,12,7.2,72.67,0,0,,0,0,57.6,37,222,1003,100,11.9,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T20:00:00,11.1,11.1,8,81.48,5.567,100,rain,0,0,64.8,39.3,229,1003.1,100,12,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T21:00:00,11.1,11.1,8.1,81.91,0,0,,0,0,39.6,36.8,229,1004,100,11.6,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T22:00:00,11,11,8.1,82.33,0,0,,0,0,46.8,35.6,230,1005,100,10.9,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-04-03T23:00:00,11,11,8.1,82.24,0,0,,0,0,36,29.8,229,1005,100,10.9,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
