name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-05-27T00:00:00,13.9,13.9,11.2,83.53,0,0,,0,0,7.6,18.4,217,1014.1,0,10.3,0,0,0,,Clear,clear-night,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T01:00:00,13.9,13.9,10.3,78.67,0,0,,0,0,7.6,17.1,209,1015,1.4,10,0,0,0,,Clear,clear-night,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T02:00:00,13.9,13.9,10.3,78.84,0,0,,0,0,10.8,18.3,210,1015,1.7,9.8,0,0,0,,Clear,clear-night,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T03:00:00,14,14,10.3,78.31,0,0,,0,0,18.4,23.9,211,1015,1.7,10.9,0,0,0,,Clear,clear-night,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T04:00:00,14,14,10.3,78.39,0,0,,0,0,22.3,23.3,220,1015.1,2.6,11.5,0,0,0,,Clear,clear-night,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T05:00:00,13.2,13.2,10.3,82.48,0,0,,0,0,14.4,22.9,213,1015.1,89,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T06:00:00,13.1,13.1,11,87.39,0,0,,0,0,14.8,17.7,221,1015.1,89.8,11.5,14,0.1,0,,Partially cloudy,partly-cloudy-day,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T07:00:00,14,14,11.1,82.55,0,0,,0,0,18.4,17.4,220,1016,88.3,11.1,63,0.2,1,,Partially cloudy,partly-cloudy-day,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T08:00:00,14,14,11.1,82.24,1.511,100,rain,0,0,21.6,23.1,220,1016.1,89.3,11.1,207,0.7,2,,"Rain, Partially cloudy",rain,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T09:00:00,14.9,14.9,11.1,77.71,0,0,,0,0,22.3,22.8,220,1016.1,31.8,11.2,346,1.2,3,,Partially cloudy,partly-cloudy-day,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T10:00:00,15.1,15.1,10.1,72.05,0,0,,0,0,33.5,24,220,1015.1,31.2,10.3,722,2.6,7,,Partially cloudy,partly-cloudy-day,"06260099999,F8218,06240099999,06344099999"
Delft,2024-05-27T11:00:00,16.8,16.8,10.2,64.96,0,0,,0,0,21.6,22.9,221,1016.2,50.3,11.2,735,2.6,7,,Partially cloudy,partly-cloudy-day,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
Delft,2024-05-27T12:00:00,16.9,16.9,9.3,60.86,0,0,,0,0,25.9,22.8,229,1016.2,31.6,11.4,223,0.8,2,,Partially cloudy,partly-cloudy-day,"06356099999,06260099999,F8218,06348099999,06240099999,06330099999,06344099999"
