name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-05-14T00:00:00,17.9,17.9,15.8,87.77,0,0,,0,0,19.1,7.7,119,1007,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T01:00:00,16,16,14.9,93.09,0,0,,0,0,18,7.7,101,1007,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T02:00:00,16.9,16.9,14.9,87.88,0,0,,0,0,18.4,7.8,119,1006,30.7,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T03:00:00,16,16,14.9,93.44,0,0,,0,0,18,5.9,100,1005.1,23.1,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T04:00:00,16,16,14.9,93.44,0,0,,0,0,18.7,9.6,110,1005,13.3,10,0,0,0,10,Clear,clear-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T05:00:00,15.9,15.9,13.9,87.92,0,0,,0,0,21.2,11.3,101,1004.1,0,10,0,0,0,10,Clear,clear-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T06:00:00,15.9,15.9,13.9,88.02,0,0,,0,0,23.8,13,109,1004.1,0,10,3,0,0,10,Clear,clear-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T07:00:00,16.9,16.9,13.9,82.6,0,0,,0,0,25.2,14.8,110,1004,0,10,70,0.3,1,10,Clear,clear-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T08:00:00,18,18,14,77.26,0,0,,0,0,29.9,20.4,110,1004,88,10,231,0.8,2,10,Partially cloudy,partly-cloudy-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-14T09:00:00,20,20,14,68.47,0,0,,0,0,34.6,18.4,120,1004,100,10,396,1.4,4,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
