name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-05-21T00:00:00,13.9,13.9,12.9,93.92,0,0,,0,0,11.2,3.8,12,1010,0,1.5,0,0,0,10,Clear,clear-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T01:00:00,12,12,12,99.74,0,0,,0,0,11.2,0.4,4,1010,0.5,0.4,0,0,0,10,Clear,fog,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T02:00:00,12,12,12,99.88,0,0,,0,0,10.4,3.6,50,1009,3.8,0.4,0,0,0,10,Clear,fog,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T03:00:00,11,11,11,100,0,0,,0,0,10.8,2.1,50,1009,100,0.5,0,0,0,10,Overcast,fog,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T04:00:00,11.1,11.1,11.1,100,0,0,,0,0,10.4,3.6,23,1009,100,1.4,0,0,0,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T05:00:00,11,11,11,100,0,0,,0,0,10.4,3.6,3,1008,75.1,1.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T06:00:00,12,12,12,100,0,0,,0,0,10.4,3.7,31,1008,100,2.2,32,0.1,0,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T07:00:00,13,13,13,100,0,0,,0,0,10.8,5.3,41,1008,27.6,5.1,114,0.4,1,10,Partially cloudy,partly-cloudy-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T08:00:00,15,15,14,93.51,0,0,,0,0,14.4,9.5,51,1008,100,9.9,315,1.1,3,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T09:00:00,17,17,14,82.5,0,0,,0,0,17.6,11.2,60,1008,100,10,369,1.3,4,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T10:00:00,19,19,14,73.1,0,0,,0,0,19.4,11.2,59,1008,100,10,403,1.5,4,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T11:00:00,20.9,20.9,15,68.72,0,0,rain,0,0,46.4,11.4,60,1008,100,10,507,1.8,5,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T12:00:00,21.9,21.9,14,60.83,0,0,,0,0,21.6,14.8,52,1007,100,10,668,2.4,7,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T13:00:00,22.8,22.8,14,57.5,0,0,,0,0,21.6,14.8,76,1007,50.6,10,634,2.3,6,10,Partially cloudy,partly-cloudy-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T14:00:00,23.8,23.8,13.1,50.96,0,0,,0,0,28.4,14.8,84,1007,85.9,10,495,1.8,5,10,Partially cloudy,partly-cloudy-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T15:00:00,23.8,23.8,13.1,51.19,0.1,0,rain,0,0,28.4,16.6,95,1006.1,55.1,9.9,480,1.7,5,10,Partially cloudy,partly-cloudy-day,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-21T16:00:00,22.6,22.6,13.5,56.43,0,96.8,rain,0,0,20.5,5,91.2,1007,100,13.9,538,1.9,5,10,"Rain, Overcast",rain,
Delft,2024-05-21T17:00:00,22.2,22.2,14.2,60.51,0,96.8,rain,0,0,22,5,357.8,1006,100,13.4,286,1,3,10,"Rain, Overcast",rain,
Delft,2024-05-21T18:00:00,18.8,18.8,15.6,81.67,0.9,96.8,rain,0,0,34.6,9.4,3.6,1006,100,24.1,227,0.8,2,10,"Rain, Overcast",rain,
Delft,2024-05-21T19:00:00,18.6,18.6,15.5,82.17,0.1,96.8,rain,0,0,28.8,8.3,336.3,1005,100,20.5,87,0.3,1,10,"Rain, Overcast",rain,
Delft,2024-05-21T20:00:00,18.5,18.5,15.6,83.22,0,96.8,rain,0,0,18,8.3,355.7,1005,100,10.2,37,0.1,0,10,"Rain, Overcast",rain,
Delft,2024-05-21T21:00:00,17.2,17.2,16,92.66,4.4,96.8,rain,0,0,23,11.2,331.4,1005,100,6.5,5,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-21T22:00:00,16.7,16.7,15.6,93.22,0.2,96.8,rain,0,0,22.3,7.2,18,1005,100,6.8,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-21T23:00:00,16.7,16.7,16.2,96.87,3,96.8,rain,0,0,22,9,47.5,1005,100,6.6,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T00:00:00,16.6,16.6,16,96.25,0.7,96.8,rain,0,0,19.4,7.6,36.2,1004,100,11.1,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T01:00:00,16.2,16.2,15.7,96.86,1.9,96.8,rain,0,0,19.8,9.4,32.2,1004,100,8.5,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T02:00:00,16,16,15.6,97.47,2,96.8,rain,0,0,18.7,7.2,21.3,1003,100,5.2,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T03:00:00,15.8,15.8,15.4,97.47,1.3,83.9,rain,0,0,14.4,3.6,350.7,1002,100,3.3,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T04:00:00,15.6,15.6,15.3,98.09,0.9,83.9,rain,0,0,7.9,4,226.7,1002,100,5.5,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T05:00:00,15.4,15.4,15,97.46,0.1,83.9,rain,0,0,22.3,10.8,199.6,1001,100,18.4,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T06:00:00,14.5,14.5,13.7,94.95,0.1,83.9,rain,0,0,38.9,18.7,212.9,1001,100,24.1,0,0,0,10,"Rain, Overcast",rain,
Delft,2024-05-22T07:00:00,14.5,14.5,13.4,93.11,0,83.9,rain,0,0,43.9,20.9,221.2,1002,100,24.1,36,0.1,0,10,"Rain, Overcast",rain,
