name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-05-03T00:00:00,13.9,13.9,12,88.29,0,0,,0,0,32.4,25.3,220,1003,88,4.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T01:00:00,13.9,13.9,12.9,93.92,0.1,100,rain,0,0,32.8,13.8,194,1003.9,88.2,3,0,0,0,10,"Rain, Partially cloudy",rain,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T02:00:00,13,13,12,93.65,0,0,,0,0,31.7,29.1,241,1002.1,86.7,3.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T03:00:00,12.9,12.9,12,94,0,0,,0,0,35.3,25.6,251,1002,99.5,4,0,0,0,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T04:00:00,12.9,12.9,12,94,1.2,100,rain,0,0,38.2,22,241,1002,88.2,5,0,0,0,10,"Rain, Partially cloudy",rain,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T05:00:00,12.9,12.9,11.9,93.76,2.7,100,rain,0,0,37.8,18.2,249,1003,88.2,4,0,0,0,10,"Rain, Partially cloudy",rain,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T06:00:00,12,12,11.9,99.62,1.3,100,rain,0,0,35.6,18.5,249,1003.9,88,4,0,0,0,10,"Rain, Partially cloudy",rain,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T07:00:00,12,12,11,93.6,1.1,100,rain,0,0,34.6,23.6,239,1004,88,7.7,6,0,0,10,"Rain, Partially cloudy",rain,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T08:00:00,11.9,11.9,11,93.96,0.8,100,rain,0,0,29.2,23.6,239,1005,99.1,9.6,8,0,0,10,"Rain, Overcast",rain,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T09:00:00,11.9,11.9,10.9,93.6,0,0,rain,0,0,35.6,18.4,239,1005,99.1,9.8,28,0.1,0,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T10:00:00,11.9,11.9,10,87.9,0,0,rain,0,0,43.2,24,221,1005.1,99.1,10,42,0.2,0,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T11:00:00,11,11,10,93.55,0,0,rain,0,0,46.8,27.5,220,1006.1,99.3,10,52,0.2,1,10,Overcast,cloudy,"F8218,EHRD,EHWO,EHGR,EHAM"
Delft,2024-05-03T12:00:00,11.3,11.3,8.9,85.17,0.1,96.8,rain,0,0,46.8,22,232.7,1007,100,24.1,58,0.2,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T13:00:00,11.1,11.1,9.1,87.48,0.7,96.8,rain,0,0,46.8,21.2,233.1,1008,100,24.1,59,0.2,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T14:00:00,10.9,10.9,8.8,86.87,2.2,96.8,rain,0,0,49,23,234.9,1008,100,24.1,68,0.2,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T15:00:00,11,11,8.7,85.72,2.4,83.9,rain,0,0,49.3,23,237.5,1009,100,24.1,85,0.3,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T16:00:00,11.5,11.5,8.8,83.49,1.2,83.9,rain,0,0,50.8,23.8,235.9,1010,100,14.6,109,0.4,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T17:00:00,11.4,11.4,8.4,81.8,0.6,83.9,rain,0,0,51.8,23,230.3,1010,100,21.1,51,0.2,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T18:00:00,11.7,11.7,8.1,78.57,0.7,83.9,rain,0,0,49.7,21.6,231,1011,100,24.1,55,0.2,1,10,"Rain, Overcast",rain,
Delft,2024-05-03T19:00:00,12,12,8,76.51,0.2,83.9,rain,0,0,46.1,21.2,231.8,1011,100,24.1,159,0.6,2,10,"Rain, Overcast",rain,
Delft,2024-05-03T20:00:00,12.1,12.1,7.7,74.47,0,83.9,rain,0,0,44.6,18.7,229.4,1011,99.8,24.1,152,0.5,2,10,"Rain, Overcast",rain,
Delft,2024-05-03T21:00:00,11.9,11.9,7.8,75.98,0,0,,0,0,39.6,16.2,226.8,1012,100,24.1,44,0.2,0,10,Overcast,cloudy,
Delft,2024-05-03T22:00:00,11.4,11.4,7.7,77.99,0,0,,0,0,33.8,12.6,219.4,1013,52.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
Delft,2024-05-03T23:00:00,10.7,10.7,8.1,83.96,0,0,,0,0,26.3,10.4,202.1,1013,11.2,24.1,0,0,0,10,Clear,clear-night,
